X,Y,Z,flux_x,flux_y,flux_z
0.05,0.1,0.5,-1209.32,513.864,-2.22853e-15
0.15,0.2,0.5,-441.094,301.664,0
0.25,0.3,0.5,-260.369,199.89,-8.66884e-16
0.35,0.4,0.5,-171.827,138.005,5.98501e-16
0.45,0.5,0.5,-117.024,94.3489,4.09173e-16
0.55,0.6,0.5,-78.5916,62.3254,0
0.65,0.7,0.5,-50.9914,39.4085,1.70907e-16
0.75,0.8,0.5,-31.6728,23.6931,-1.02753e-16
0.85,0.9,0.5,-18.7029,13.1047,0
0.95,1,0.5,-11.7828,5.07625,2.20147e-17
0.05,0.2,0.5,-657.992,168.982,2.22853e-15
0.15,0.3,0.5,-330.652,156.107,-1.98527e-15
0.25,0.4,0.5,-224.759,121.578,8.66884e-16
0.35,0.5,0.5,-158.018,86.2995,-5.98501e-16
0.45,0.6,0.5,-109.761,56.7562,2.46141e-16
0.55,0.7,0.5,-73.5472,34.873,4.21531e-16
0.65,0.8,0.5,-47.1499,20.1006,-1.70907e-16
0.75,0.9,0.5,-29.0004,10.6762,-4.63006e-17
0.85,1,0.5,-17.6093,4.59056,7.67411e-17
0.95,1.1,0.5,-11.8307,0.356309,-2.20147e-17
0.05,0.3,0.5,-462.842,92.47,0
0.15,0.4,0.5,-281.698,94.8658,1.98527e-15
0.25,0.5,0.5,-202.736,72.4495,1.70835e-15
0.35,0.6,0.5,-145.08,46.4355,0
0.45,0.7,0.5,-99.8468,25.7455,-6.55314e-16
0.55,0.8,0.5,-65.3257,12.4038,-4.21531e-16
0.65,0.9,0.5,-40.7395,4.95984,0
0.75,1,0.5,-24.6262,1.13656,1.49053e-16
0.85,1.1,0.5,-15.1608,-0.757196,-7.67411e-17
0.95,1.2,0.5,-10.5415,-1.11193,1.87378e-17
0.05,0.4,0.5,-353.92,52.2453,0
0.15,0.5,0.5,-247.468,52.9026,0
0.25,0.6,0.5,-183.941,32.3304,1.40211e-16
0.35,0.7,0.5,-130.362,11.9392,0
0.45,0.8,0.5,-86.6635,-0.372844,7.65351e-16
0.55,0.9,0.5,-54.2385,-5.22142,0
0.65,1,0.5,-32.4591,-5.85749,2.54187e-16
0.75,1.1,0.5,-19.1581,-4.88315,1.32805e-16
0.85,1.2,0.5,-11.8384,-3.42881,5.85871e-17
0.95,1.3,0.5,-8.18487,-1.42043,-1.87378e-17
0.05,0.5,0.5,-294.059,28.8343,0
0.15,0.6,0.5,-224.837,18.09,0
0.25,0.7,0.5,-166.207,-5.0425,-1.84856e-15
0.35,0.8,0.5,-112.354,-18.994,0
0.45,0.9,0.5,-69.926,-21.336,-9.25301e-17
0.55,1,0.5,-40.9288,-17.4777,3.76882e-16
0.65,1.1,0.5,-23.2204,-12.2209,-2.54187e-16
0.75,1.2,0.5,-13.3524,-7.70853,-1.32805e-16
0.85,1.3,0.5,-8.25464,-4.20066,-5.85871e-17
0.95,1.4,0.5,-5.55437,-1.24982,7.15744e-18
0.05,0.6,0.5,-266.129,11.3786,0
0.15,0.7,0.5,-209.207,-19.235,-2.62114e-15
0.25,0.8,0.5,-145.332,-43.3626,1.63863e-15
0.35,0.9,0.5,-89.0908,-45.6251,0
0.45,1,0.5,-49.8816,-35.6384,-6.72821e-16
0.55,1.1,0.5,-26.6023,-23.7425,-3.76882e-16
0.65,1.2,0.5,-14.1876,-14.3599,1.38911e-16
0.75,1.3,0.5,-8.02589,-7.99507,6.47015e-17
0.85,1.4,0.5,-5.02367,-3.78485,2.39555e-17
0.95,1.5,0.5,-3.25906,-0.895759,-7.15744e-18
0.05,0.7,0.5,-261.896,-11.1848,0
0.15,0.8,0.5,-192.425,-69.0631,2.62114e-15
0.25,0.9,0.5,-115.538,-82.1021,-3.56061e-16
0.35,1,0.5,-59.5298,-64.094,0
0.45,1.1,0.5,-28.1306,-41.2487,0
0.55,1.2,0.5,-13.1375,-23.9905,1.69873e-16
0.65,1.3,0.5,-6.60063,-13.0933,-1.38911e-16
0.75,1.4,0.5,-3.85097,-6.63497,-6.47015e-17
0.85,1.5,0.5,-2.56026,-2.79573,-2.39555e-17
0.95,1.6,0.5,-1.5983,-0.525284,0
0.05,0.8,0.5,-269.847,-65.152,0
0.15,0.9,0.5,-160.022,-139.337,0
0.25,1,0.5,-71.7299,-111.996,-1.28257e-15
0.35,1.1,0.5,-25.612,-68.2505,0
0.45,1.2,0.5,-8.06935,-37.3472,0
0.55,1.3,0.5,-2.69458,-19.4949,-1.69873e-16
0.65,1.4,0.5,-1.37584,-9.81609,3.95571e-17
0.75,1.5,0.5,-1.14104,-4.58232,1.60542e-17
0.85,1.6,0.5,-0.989826,-1.70901,0
0.95,1.7,0.5,-0.603592,-0.230217,-3.75307e-21
0.05,0.9,0.5,-237.818,-239.751,0
0.15,1,0.5,-97.5462,-210.786,-8.03215e-16
0.25,1.1,0.5,-14.2315,-112.322,0
0.35,1.2,0.5,5.76249,-54.7376,0
0.45,1.3,0.5,5.8518,-26.4755,0
0.55,1.4,0.5,3.25861,-12.8555,2.95758e-17
0.65,1.5,0.5,1.31089,-6.09231,-3.95571e-17
0.75,1.6,0.5,0.224925,-2.60378,-1.12921e-17
0.85,1.7,0.5,-0.191752,-0.812138,8.97252e-19
0.95,1.8,0.5,-0.141805,-0.0425519,3.75307e-21
0.05,1,0.5,-233.851,-551.685,0
0.15,1.1,0.5,13.2787,-185.209,8.03215e-16
0.25,1.2,0.5,43.7457,-71.4228,0
0.35,1.3,0.5,22.9622,-30.9778,0
0.45,1.4,0.5,10.8977,-14.4321,0
0.55,1.5,0.5,5.01344,-6.81971,-2.95758e-17
0.65,1.6,0.5,2.08872,-3.02893,0
0.75,1.7,0.5,0.654889,-1.09807,-4.76213e-18
0.85,1.8,0.5,0.0692927,-0.206892,-8.97252e-19
0.95,1.9,0.5,-0.0225359,0.0434173,0
